"obs","idnumber","salary","lsalary","educ","salbegin","lsalbegin","male","minority","jobcat"
44,44,29.25,3.37587957367787,8,14.25,2.65675690671466,1,0,1
45,45,30.75,3.42588999425253,12,13.5,2.60268968544438,1,0,2
46,46,22.35,3.10682632105958,15,12.75,2.54553127160443,0,0,1
47,47,30,3.40119738166216,12,16.5,2.80336038090653,0,0,1
48,48,30.75,3.42588999425253,12,14.1,2.64617479738412,1,0,2
49,49,34.8,3.54961738678043,15,16.5,2.80336038090653,1,0,1
50,50,60,4.0943445622221,16,23.73,3.16674007044767,1,0,3
51,51,35.55,3.57094015624925,12,15,2.70805020110221,1,0,1
52,52,45.15,3.80999027986299,15,15,2.70805020110221,1,0,1
53,53,73.75,4.30068099521993,18,26.25,3.26766598903763,1,0,3
54,54,25.05,3.22087382753087,12,13.5,2.60268968544438,1,0,1
55,55,27,3.29583686600433,12,15,2.70805020110221,1,0,1
56,56,26.85,3.29026582095487,15,13.5,2.60268968544438,1,0,1
57,57,33.9,3.5234150143864,15,15.75,2.75684036527164,1,0,1
58,58,26.4,3.27336401015227,15,13.5,2.60268968544438,0,0,1
59,59,28.05,3.33398863196871,15,14.25,2.65675690671466,1,1,1
60,60,30.9,3.4307561839037,12,15,2.70805020110221,1,1,1
61,61,22.5,3.11351530921037,8,9.75,2.27726728500976,1,1,1
62,62,48,3.87120101090789,16,21.75,3.07961375753469,1,0,3
63,63,55,4.00733318523247,17,26.25,3.26766598903763,1,0,3
64,64,53.125,3.97264762724458,16,21,3.04452243772342,1,0,3
65,65,21.9,3.08648663682246,8,14.55,2.6775909936175,1,0,1
66,66,78.125,4.35831010805657,19,30,3.40119738166216,1,0,3
67,67,46,3.8286413964891,16,21.24,3.05588619637374,1,0,3
68,68,45.25,3.81220267014594,16,21.48,3.06712226964066,1,0,3
69,69,56.55,4.03512520256213,16,25,3.2188758248682,1,0,3
70,70,41.1,3.71600812150219,15,20.25,3.00815479355255,1,0,1
71,71,82.5,4.41279829334063,17,34.98,3.55477646959046,1,0,3
72,72,54,3.98898404656427,16,18,2.89037175789616,0,0,1
73,73,26.4,3.27336401015227,12,10.5,2.35137525716348,0,0,1
74,74,33.9,3.5234150143864,15,19.5,2.9704144655697,0,0,1
75,75,24.15,3.18428438009858,15,11.55,2.4466854369678,0,0,1
76,76,29.25,3.37587957367787,15,11.55,2.4466854369678,0,0,1
77,77,27.6,3.3178157727231,12,11.4,2.43361335540045,0,0,1
78,78,22.95,3.13331793650655,12,10.5,2.35137525716348,0,0,1
79,79,34.8,3.54961738678043,16,14.55,2.6775909936175,0,0,1
80,80,51,3.93182563272433,16,18,2.89037175789616,0,0,1
81,81,24.3,3.1904763503465,12,10.95,2.39333945626251,0,0,1
82,82,24.75,3.2088254890147,12,14.25,2.65675690671466,0,1,1
83,83,22.95,3.13331793650655,12,11.25,2.42036812865043,0,1,1
84,84,25.05,3.22087382753087,8,10.95,2.39333945626251,0,1,1
85,85,25.95,3.2561716096119,15,17.1,2.83907846350861,1,0,1
86,86,31.65,3.45473814859019,15,15.75,2.75684036527164,1,0,1
87,87,24.15,3.18428438009858,12,14.1,2.64617479738412,1,0,1
88,88,72.5,4.28358656186063,19,28.74,3.35828988065088,1,0,3
89,89,68.75,4.23047673654668,19,27.48,3.31345846735415,1,0,3
90,90,16.2,2.78501124223834,8,9.75,2.27726728500976,0,0,1
91,91,20.1,3.00071981506503,12,11.25,2.42036812865043,0,0,1
92,92,24,3.17805383034795,8,10.95,2.39333945626251,0,0,1
93,93,25.95,3.2561716096119,12,10.95,2.39333945626251,0,0,1
94,94,24.6,3.20274644293832,12,10.05,2.30757263450508,0,0,1
95,95,28.5,3.3499040872746,12,10.5,2.35137525716348,0,0,1
96,96,30.75,3.42588999425253,8,15,2.70805020110221,1,1,2
97,97,40.2,3.69386699562498,17,19.5,2.9704144655697,1,1,1
98,98,30,3.40119738166216,8,15,2.70805020110221,1,1,2
99,99,22.05,3.09331260189286,12,10.95,2.39333945626251,0,1,1
100,100,78.25,4.35990882942026,18,27.48,3.31345846735415,1,0,3
101,101,60.625,4.10470734925765,16,22.5,3.11351530921037,1,0,3
102,102,39.9,3.68637632389582,14,15.75,2.75684036527164,1,0,1
103,103,97,4.57471097850338,19,35.01,3.55563373496657,1,0,3
104,104,27.45,3.31236616795554,15,15.75,2.75684036527164,1,0,1
105,105,31.65,3.45473814859019,15,13.5,2.60268968544438,1,0,1
106,106,91.25,4.5136029924626,19,29.49,3.38405122282718,1,0,3
107,107,25.2,3.22684399451738,12,14.4,2.66722820658195,0,0,1
108,108,21,3.04452243772342,12,11.55,2.4466854369678,0,0,1
109,109,30.45,3.41608599415591,12,15,2.70805020110221,1,1,1
110,110,28.35,3.34462703017376,15,18,2.89037175789616,1,1,1
111,111,30.75,3.42588999425253,12,9,2.19722457733622,1,1,2
112,112,30.75,3.42588999425253,12,15,2.70805020110221,1,1,2
113,113,54.875,4.00505787139534,16,27.48,3.31345846735415,1,0,3
114,114,37.8,3.63230910262554,14,16.5,2.80336038090653,1,0,1
115,115,33.45,3.51005178657424,15,14.1,2.64617479738412,1,0,1
116,116,30.3,3.41114771251532,15,16.5,2.80336038090653,1,0,1
117,117,31.5,3.44998754583159,12,18.75,2.93119375241642,0,0,1
118,118,31.65,3.45473814859019,12,14.25,2.65675690671466,0,0,1
119,119,25.2,3.22684399451738,12,14.1,2.64617479738412,0,0,1
120,120,37.8,3.63230910262554,16,15.75,2.75684036527164,0,0,3
121,121,18.75,2.93119375241642,15,10.5,2.35137525716348,0,0,1
122,122,32.55,3.48277736865458,15,13.5,2.60268968544438,0,0,1
123,123,33.3,3.5055573969864,12,15,2.70805020110221,0,0,1
124,124,38.55,3.65195610000934,16,16.5,2.80336038090653,0,0,1
125,125,27.45,3.31236616795554,12,15,2.70805020110221,1,1,1
126,126,24.3,3.1904763503465,15,15,2.70805020110221,1,1,2
127,127,30.75,3.42588999425253,12,15,2.70805020110221,1,1,2
128,128,19.65,2.97807733831527,12,9.75,2.27726728500976,0,1,1
129,129,68.75,4.23047673654668,17,27.51,3.31454957493648,1,0,3
130,130,59.375,4.08387326235481,20,30,3.40119738166216,1,0,3
131,131,31.5,3.44998754583159,15,15.75,2.75684036527164,1,0,1
132,132,27.3,3.30688670219091,12,17.25,2.84781214347737,1,0,1
133,133,27,3.29583686600433,15,15.75,2.75684036527164,1,0,1
134,134,41.55,3.72689752130146,16,24.99,3.21847574484686,0,0,3
135,135,26.25,3.26766598903763,12,10.95,2.39333945626251,0,0,1
136,136,22.2,3.10009228887823,12,15,2.70805020110221,1,0,1
137,137,65,4.17438726989564,21,37.5,3.62434093297637,1,0,3
138,138,30.9,3.4307561839037,12,15,2.70805020110221,1,0,1
139,139,20.1,3.00071981506503,8,13.2,2.58021682959233,0,0,1
140,140,22.35,3.10682632105958,12,13.5,2.60268968544438,0,0,1
141,141,35.55,3.57094015624925,15,13.35,2.59151638484626,0,0,1
142,142,28.5,3.3499040872746,12,13.95,2.63547950826737,0,0,1
143,143,24.45,3.19663021592088,12,13.2,2.58021682959233,0,0,1
144,144,16.65,2.81241021642645,8,9.75,2.27726728500976,0,0,1
145,145,26.7,3.2846635654062,12,13.5,2.60268968544438,1,1,1
146,146,43.95,3.78305262413119,18,23.25,3.14630513203337,1,1,1
147,147,23.7,3.16547504814109,15,13.5,2.60268968544438,1,1,1
148,148,26.55,3.27902974768795,15,14.25,2.65675690671466,0,1,1
149,149,27.6,3.3178157727231,12,15,2.70805020110221,1,0,1
150,150,25.8,3.25037449192757,12,15,2.70805020110221,1,0,1
151,151,42.3,3.74478708605223,16,26.25,3.26766598903763,1,0,3
152,152,30.75,3.42588999425253,8,15,2.70805020110221,1,0,2
153,153,26.7,3.2846635654062,12,12.9,2.55722731136763,0,0,1
154,154,20.85,3.03735394824481,12,12,2.484906649788,0,0,1
155,155,35.25,3.56246552925828,15,15,2.70805020110221,1,1,1
156,156,26.7,3.2846635654062,15,15,2.70805020110221,1,1,1
157,157,26.55,3.27902974768795,12,13.05,2.5687881337687,0,1,1
158,158,27.75,3.32323584019244,12,12,2.484906649788,0,1,1
159,159,25.05,3.22087382753087,16,12.75,2.54553127160443,0,1,1
160,160,66,4.18965474202643,16,47.49,3.86051916256103,1,0,3
161,161,52.65,3.96366623857998,16,19.5,2.9704144655697,1,0,1
162,162,45.625,3.82045581190266,16,23.25,3.14630513203337,1,0,3
163,163,30.9,3.4307561839037,15,15,2.70805020110221,1,0,1
164,164,29.4,3.38099467434464,15,16.5,2.80336038090653,0,0,1
165,165,33.3,3.5055573969864,15,13.5,2.60268968544438,0,0,1
166,166,21.9,3.08648663682246,12,9.75,2.27726728500976,0,0,1
167,167,18.15,2.89867056071086,12,9.75,2.27726728500976,0,0,1
168,168,46.875,3.84748448429057,16,17.25,2.84781214347737,0,0,3
169,169,25.5,3.23867845216438,12,14.4,2.66722820658195,1,1,1
170,170,26.55,3.27902974768795,12,15,2.70805020110221,1,1,1
171,171,26.7,3.2846635654062,12,13.5,2.60268968544438,1,1,1
172,172,29.85,3.39618483983861,15,15,2.70805020110221,0,1,1
173,173,69.25,4.23772314506745,20,42.48,3.74903337693368,1,0,3
174,174,31.95,3.46417218082354,8,15,2.70805020110221,1,0,2
175,175,26.25,3.26766598903763,8,15.6,2.74727091425549,1,0,1
176,176,35.7,3.57515068878559,16,17.25,2.84781214347737,0,0,1
177,177,28.5,3.3499040872746,12,16.5,2.80336038090653,0,0,1
178,178,17.1,2.83907846350861,12,10.2,2.32238772029023,0,0,1
179,179,25.2,3.22684399451738,12,13.05,2.5687881337687,1,1,1
180,180,24,3.17805383034795,12,12.75,2.54553127160443,0,1,1
181,181,27.45,3.31236616795554,12,10.2,2.32238772029023,0,1,1
182,182,18.45,2.91506437048654,12,10.2,2.32238772029023,0,1,1
183,183,39.3,3.67122451887522,15,15.75,2.75684036527164,1,0,1
184,184,38.85,3.65970807681366,15,15,2.70805020110221,1,0,1
185,185,30.75,3.42588999425253,8,15,2.70805020110221,1,0,2
186,186,37.5,3.62434093297637,15,20.4,3.01553490085017,1,0,1
187,187,58.75,4.07329115302427,16,21.75,3.07961375753469,1,0,3
188,188,34.5,3.54095932403731,12,18.75,2.93119375241642,0,0,1
189,189,36,3.58351893845611,12,19.98,2.99473177322041,0,0,1
190,190,29.1,3.37073817417745,8,16.5,2.80336038090653,0,0,1
191,191,16.5,2.80336038090653,12,10.2,2.32238772029023,0,0,1
192,192,19.65,2.97807733831527,12,12.75,2.54553127160443,1,1,1
193,193,24.75,3.2088254890147,12,12,2.484906649788,0,1,1
194,194,27.15,3.30137704637994,15,15.75,2.75684036527164,0,1,1
195,195,26.4,3.27336401015227,12,12.75,2.54553127160443,0,1,1
196,196,23.1,3.13983261752775,16,12,2.484906649788,0,1,1
197,197,54.9,4.00551334851548,15,25.5,3.23867845216438,1,0,3
198,198,70.875,4.26091776204792,19,43.5,3.77276093809464,1,0,3
199,199,51.25,3.93671561801852,16,27.48,3.31345846735415,1,0,3
200,200,67.5,4.21212759787848,17,34.98,3.55477646959046,1,0,3
201,201,29.34,3.37895177271484,12,19.5,2.9704144655697,1,0,1
202,202,39.6,3.67882911826043,15,16.5,2.80336038090653,1,0,1
203,203,29.1,3.37073817417745,12,15,2.70805020110221,1,0,1
204,204,33.15,3.50104271663187,15,16.5,2.80336038090653,1,0,1
205,205,66.75,4.20095429728036,16,52.5,3.96081316959758,1,0,3
206,206,33.75,3.51898041731854,12,15,2.70805020110221,1,0,2
207,207,27.3,3.30688670219091,15,17.25,2.84781214347737,1,0,1
208,208,24,3.17805383034795,12,11.25,2.42036812865043,0,0,1
209,209,19.8,2.98568193770049,8,10.2,2.32238772029023,0,0,1
210,210,30.6,3.42100000895834,15,16.5,2.80336038090653,1,1,1
211,211,28.95,3.365570204019,15,15,2.70805020110221,1,1,1
212,212,38.4,3.64805745959368,15,16.5,2.80336038090653,1,1,1
213,213,30.75,3.42588999425253,8,15,2.70805020110221,1,1,2
214,214,20.4,3.01553490085017,12,10.95,2.39333945626251,0,1,1
215,215,19.2,2.95491027903374,12,11.1,2.40694510831829,0,1,1
216,216,30.15,3.40618492317319,15,15.75,2.75684036527164,1,0,1
217,217,34.62,3.54443154974806,16,27.75,3.32323584019244,1,0,1
218,218,80,4.38202663467388,15,15.75,2.75684036527164,1,0,1
219,219,25.35,3.23277873003719,12,15,2.70805020110221,1,0,1
220,220,29.85,3.39618483983861,12,15.75,2.75684036527164,1,0,1
221,221,24,3.17805383034795,12,13.8,2.62466859216316,0,0,1
222,222,27.75,3.32323584019244,15,19.5,2.9704144655697,0,0,1
223,223,22.35,3.10682632105958,8,10.2,2.32238772029023,0,0,1
224,224,16.2,2.78501124223834,12,10.2,2.32238772029023,0,0,1
225,225,21.9,3.08648663682246,15,12.75,2.54553127160443,0,0,1
226,226,23.25,3.14630513203337,16,15.75,2.75684036527164,0,0,1
227,227,33.9,3.5234150143864,12,12,2.484906649788,0,0,1
228,228,25.65,3.24454357161678,15,14.25,2.65675690671466,0,0,1
229,229,17.25,2.84781214347737,12,10.2,2.32238772029023,0,0,1
230,230,22.5,3.11351530921037,15,15,2.70805020110221,1,1,1
231,231,40.2,3.69386699562498,16,21,3.04452243772342,1,0,3
232,232,55.5,4.01638302075239,19,33.75,3.51898041731854,1,0,3
233,233,26.55,3.27902974768795,15,15,2.70805020110221,1,0,1
234,234,50.55,3.92296294546648,15,19.5,2.9704144655697,1,0,1
235,235,75,4.31748811353631,19,31.5,3.44998754583159,1,0,3
236,236,27.45,3.31236616795554,8,12,2.484906649788,0,0,1
237,237,22.65,3.12015985192904,12,11.25,2.42036812865043,0,0,1
238,238,27.3,3.30688670219091,12,11.25,2.42036812865043,0,0,1
239,239,27.75,3.32323584019244,12,11.225,2.41814343362832,0,0,1
240,240,54.375,3.99590448940885,16,18.75,2.93119375241642,0,0,3
241,241,17.4,2.85647020622048,8,10.2,2.32238772029023,0,0,1
242,242,40.8,3.70868208141012,12,18,2.89037175789616,0,0,1
243,243,23.1,3.13983261752775,12,10.95,2.39333945626251,0,0,1
244,244,22.5,3.11351530921037,8,10.95,2.39333945626251,0,0,1
245,245,26.7,3.2846635654062,12,11.55,2.4466854369678,0,0,1
246,246,24.9,3.21486780347066,12,11.25,2.42036812865043,0,0,1
247,247,19.65,2.97807733831527,12,10.95,2.39333945626251,0,0,1
248,248,22.05,3.09331260189286,12,10.95,2.39333945626251,0,0,1
249,249,25.5,3.23867845216438,12,12,2.484906649788,0,0,1
250,250,28.2,3.33932197794407,15,12.75,2.54553127160443,0,0,1
251,251,23.1,3.13983261752775,12,11.25,2.42036812865043,0,0,1
252,252,25.5,3.23867845216438,12,11.4,2.43361335540045,1,1,1
253,253,17.1,2.83907846350861,8,10.2,2.32238772029023,0,1,1
254,254,68.125,4.22134425298341,18,32.49,3.48093234968101,1,0,3
255,255,30.6,3.42100000895834,12,15.75,2.75684036527164,1,0,2
256,256,52.125,3.95364468011897,19,27.48,3.31345846735415,1,0,3
257,257,61.875,4.12511622088885,19,36.75,3.60413822565885,1,0,3
258,258,21.3,3.05870707271538,8,11.55,2.4466854369678,1,0,1
259,259,19.65,2.97807733831527,12,11.25,2.42036812865043,0,0,1
260,260,22.35,3.10682632105958,12,11.25,2.42036812865043,0,0,1
261,261,23.4,3.15273602236366,12,11.25,2.42036812865043,0,0,1
262,262,24.3,3.1904763503465,12,10.95,2.39333945626251,0,0,1
263,263,28.5,3.3499040872746,12,11.25,2.42036812865043,0,0,1
264,264,19.95,2.99322914333587,12,11.25,2.42036812865043,0,0,1
265,265,23.4,3.15273602236366,12,11.25,2.42036812865043,0,0,1
266,266,34.5,3.54095932403731,16,17.25,2.84781214347737,0,0,1
267,267,18.15,2.89867056071086,12,10.95,2.39333945626251,0,0,1
268,268,22.35,3.10682632105958,12,15,2.70805020110221,1,1,1
269,269,40.2,3.69386699562498,15,17.25,2.84781214347737,1,0,1
270,270,28.65,3.35515344316075,15,18,2.89037175789616,1,0,1
271,271,27.75,3.32323584019244,15,16.5,2.80336038090653,1,0,1
272,272,66.875,4.20282520521617,18,31.98,3.46511070740581,1,0,1
273,273,30,3.40119738166216,12,15.75,2.75684036527164,1,0,2
274,274,83.75,4.42783617070518,16,21.75,3.07961375753469,1,0,3
275,275,33.9,3.5234150143864,12,16.5,2.80336038090653,1,0,1
276,276,56.5,4.0342406381524,16,21,3.04452243772342,1,0,3
277,277,43,3.76120011569356,16,17.49,2.86162928903051,0,0,3
278,278,20.85,3.03735394824481,8,12,2.484906649788,0,0,1
279,279,24.45,3.19663021592088,12,12,2.484906649788,0,0,1
280,280,24.75,3.2088254890147,12,10.95,2.39333945626251,0,0,1
281,281,34.5,3.54095932403731,8,15.75,2.75684036527164,1,1,2
282,282,27.9,3.32862668882732,14,15,2.70805020110221,1,1,1
283,283,68.125,4.22134425298341,19,32.01,3.46604835398177,1,0,3
284,284,73.5,4.29728540621879,19,33,3.49650756146648,1,0,3
285,285,30.75,3.42588999425253,8,15.75,2.75684036527164,1,0,2
286,286,40.05,3.69012867351437,15,25.5,3.23867845216438,1,0,3
287,287,40.35,3.69759139471596,16,19.5,2.9704144655697,1,0,1
288,288,38.7,3.65583960003574,15,23.73,3.16674007044767,1,0,3
289,289,65,4.17438726989564,17,30.75,3.42588999425253,1,0,3
290,290,51.45,3.94061046228006,18,36.24,3.59016348117478,1,0,3
291,291,35.25,3.56246552925828,12,15.75,2.75684036527164,1,0,2
292,292,25.95,3.2561716096119,14,15,2.70805020110221,1,0,1
293,293,25.05,3.22087382753087,15,14.25,2.65675690671466,1,0,1
294,294,26.7,3.2846635654062,12,12.75,2.54553127160443,1,0,1
295,295,24,3.17805383034795,8,15.75,2.75684036527164,1,0,1
296,296,26.85,3.29026582095487,12,15,2.70805020110221,1,0,1
297,297,23.4,3.15273602236366,12,15.3,2.72785282839839,0,0,1
298,298,24.6,3.20274644293832,12,13.5,2.60268968544438,0,0,1
299,299,32.55,3.48277736865458,15,18,2.89037175789616,0,0,1
300,300,26.55,3.27902974768795,16,15,2.70805020110221,1,1,1
301,301,31.5,3.44998754583159,12,13.5,2.60268968544438,1,1,1
302,302,22.35,3.10682632105958,8,15,2.70805020110221,1,1,1
303,303,35.25,3.56246552925828,12,15.75,2.75684036527164,1,1,2
304,304,25.8,3.25037449192757,15,13.5,2.60268968544438,0,1,1
305,305,30.75,3.42588999425253,12,15.75,2.75684036527164,1,0,2
306,306,30.75,3.42588999425253,15,16.5,2.80336038090653,1,0,1
307,307,50,3.91202300542815,16,32.49,3.48093234968101,1,0,3
308,308,34.5,3.54095932403731,15,18,2.89037175789616,1,0,1
309,309,26.25,3.26766598903763,15,15.75,2.75684036527164,1,0,1
310,310,44.875,3.80388084680844,16,21.24,3.05588619637374,1,0,1
311,311,22.5,3.11351530921037,12,12,2.484906649788,0,0,1
312,312,25.65,3.24454357161678,12,14.25,2.65675690671466,0,0,1
313,313,21.3,3.05870707271538,12,11.25,2.42036812865043,0,0,1
314,314,29.85,3.39618483983861,12,13.5,2.60268968544438,0,0,1
315,315,34.5,3.54095932403731,12,12.15,2.49732916978656,0,0,1
316,316,27.75,3.32323584019244,15,15,2.70805020110221,1,1,1
317,317,27.75,3.32323584019244,12,11.55,2.4466854369678,1,1,1
318,318,48.75,3.88670519744386,16,21.99,3.09058780456667,1,0,3
319,319,43.41,3.7706898293115,15,15.75,2.75684036527164,1,0,1
320,320,22.05,3.09331260189286,12,15,2.70805020110221,1,0,1
321,321,22.05,3.09331260189286,12,12,2.484906649788,0,0,1
322,322,22.5,3.11351530921037,12,14.25,2.65675690671466,0,0,1
323,323,25.5,3.23867845216438,15,12,2.484906649788,0,0,1
324,324,29.16,3.37279790714046,12,15,2.70805020110221,0,0,1
325,325,16.8,2.82137888640921,8,10.2,2.32238772029023,0,0,1
326,326,29.55,3.38608374385211,8,15.75,2.75684036527164,1,1,2
327,327,26.7,3.2846635654062,12,15.75,2.75684036527164,1,1,1
328,328,55,4.00733318523247,18,32.49,3.48093234968101,1,0,3
329,329,62.5,4.13516655674236,18,34.98,3.55477646959046,1,0,3
330,330,27.3,3.30688670219091,15,17.25,2.84781214347737,1,0,1
331,331,24.45,3.19663021592088,12,12,2.484906649788,0,0,1
332,332,33,3.49650756146648,16,18,2.89037175789616,0,0,1
333,333,37.05,3.6122683517421,15,18,2.89037175789616,0,0,1
334,334,24.45,3.19663021592088,12,10.95,2.39333945626251,0,1,1
335,335,31.95,3.46417218082354,8,15.75,2.75684036527164,1,0,2
336,336,47.25,3.85545265393975,16,21.24,3.05588619637374,1,0,3
337,337,26.1,3.26193531432865,12,11.55,2.4466854369678,0,0,1
338,338,15.9,2.76631910922619,8,10.2,2.32238772029023,0,0,1
339,339,23.7,3.16547504814109,8,10.65,2.36555989215543,0,0,1
340,340,21.75,3.07961375753469,8,12.45,2.52172062291072,0,0,1
341,341,59.4,4.0842942263686,12,33.75,3.51898041731854,1,1,3
342,342,24.45,3.19663021592088,12,14.25,2.65675690671466,0,1,1
343,343,103.5,4.63957161270542,16,60,4.0943445622221,1,0,3
344,344,35.7,3.57515068878559,12,16.5,2.80336038090653,1,0,1
345,345,22.2,3.10009228887823,12,16.5,2.80336038090653,0,0,1
346,346,22.95,3.13331793650655,15,13.95,2.63547950826737,0,0,1
347,347,23.1,3.13983261752775,12,12,2.484906649788,0,0,1
348,348,56.75,4.03865565636151,16,30,3.40119738166216,0,0,3
349,349,29.1,3.37073817417745,17,12.75,2.54553127160443,0,0,1
350,350,37.65,3.6283329542459,12,15.75,2.75684036527164,0,0,1
351,351,27.9,3.32862668882732,12,13.5,2.60268968544438,0,0,1
352,352,21.15,3.05163990549229,8,12,2.484906649788,0,0,1
353,353,31.2,3.44041809481544,12,15.75,2.75684036527164,1,1,2
354,354,20.55,3.02286094094224,12,11.25,2.42036812865043,0,1,1
355,355,25.95,3.2561716096119,15,17.25,2.84781214347737,1,0,1
356,356,28.35,3.34462703017376,15,15,2.70805020110221,1,0,1
357,357,17.7,2.87356463957978,8,10.2,2.32238772029023,0,0,1
358,358,23.55,3.15912582046243,15,13.5,2.60268968544438,0,0,1
359,359,19.95,2.99322914333587,12,10.2,2.32238772029023,0,0,1
360,360,29.4,3.38099467434464,12,15.3,2.72785282839839,0,0,1
361,361,28.8,3.3603753871419,12,13.95,2.63547950826737,0,0,1
362,362,16.95,2.83026783382646,8,10.2,2.32238772029023,0,0,1
363,363,35.7,3.57515068878559,16,18,2.89037175789616,1,1,1
364,364,17.4,2.85647020622048,12,10.2,2.32238772029023,0,1,1
365,365,21.45,3.06572464537403,8,10.2,2.32238772029023,0,1,1
366,366,24.75,3.2088254890147,12,12,2.484906649788,0,1,1
367,367,16.95,2.83026783382646,12,10.2,2.32238772029023,0,1,1
368,368,26.1,3.26193531432865,12,13.5,2.60268968544438,0,1,1
369,369,28.05,3.33398863196871,14,15,2.70805020110221,1,0,1
370,370,36.6,3.60004824040732,16,18,2.89037175789616,0,0,1
371,371,58.125,4.06259586390752,16,18,2.89037175789616,0,0,3
372,372,21.3,3.05870707271538,15,15.75,2.75684036527164,1,0,1
373,373,22.5,3.11351530921037,12,16.5,2.80336038090653,1,0,1
374,374,29.4,3.38099467434464,15,15.75,2.75684036527164,1,0,1
375,375,27.45,3.31236616795554,12,14.7,2.68784749378469,1,0,1
376,376,29.85,3.39618483983861,15,15.75,2.75684036527164,1,0,1
377,377,25.35,3.23277873003719,15,15.75,2.75684036527164,1,0,1
378,378,15.75,2.75684036527164,8,10.2,2.32238772029023,0,0,1
379,379,19.65,2.97807733831527,8,13.05,2.5687881337687,0,0,1
380,380,21,3.04452243772342,12,13.5,2.60268968544438,0,0,1
381,381,27,3.29583686600433,17,18,2.89037175789616,1,1,1
382,382,24,3.17805383034795,12,15.75,2.75684036527164,1,1,1
383,383,78.5,4.36309862478836,17,28.74,3.35828988065088,1,1,3
384,384,20.85,3.03735394824481,12,13.05,2.5687881337687,0,1,1
385,385,30,3.40119738166216,12,15.75,2.75684036527164,1,0,2
386,386,28.5,3.3499040872746,8,15.75,2.75684036527164,1,0,2
387,387,65,4.17438726989564,19,31.98,3.46511070740581,1,0,3
388,388,30.15,3.40618492317319,14,16.5,2.80336038090653,1,0,1
389,389,66.875,4.20282520521617,19,32.49,3.48093234968101,1,0,3
390,390,24.15,3.18428438009858,15,13.5,2.60268968544438,0,0,1
391,391,24.45,3.19663021592088,12,12.45,2.52172062291072,0,0,1
392,392,21.6,3.07269331469012,12,12,2.484906649788,0,0,1
393,393,27.9,3.32862668882732,12,12.45,2.52172062291072,0,0,1
394,394,29.1,3.37073817417745,8,12.45,2.52172062291072,0,0,1
